,open,close,high,low,volume,money
2016-03-01,2.583,2.626,2.646,2.529,260671297.0,679926880.0
2016-03-02,2.628,2.744,2.75,2.628,501659434.0,1350518128.0
2016-03-03,2.743,2.737,2.777,2.729,265464640.0,729282000.0
2016-03-04,2.736,2.771,2.785,2.718,511877779.0,1411889936.0
2016-03-07,2.782,2.792,2.86,2.763,380408069.0,1062124016.0
2016-03-08,2.777,2.782,2.786,2.699,321215050.0,876806224.0
2016-03-09,2.738,2.741,2.747,2.705,294240485.0,803040608.0
2016-03-10,2.737,2.704,2.763,2.7,152630735.0,417118400.0
2016-03-11,2.682,2.699,2.716,2.663,176690439.0,475963056.0
2016-03-14,2.724,2.757,2.794,2.724,642395480.0,1778753120.0
2016-03-15,2.752,2.748,2.758,2.716,325725556.0,892527472.0
2016-03-16,2.736,2.766,2.789,2.736,319747874.0,885143664.0
2016-03-17,2.77,2.811,2.834,2.756,455597418.0,1276388464.0
2016-03-18,2.812,2.851,2.878,2.811,1076598136.0,3073815200.0
2016-03-21,2.871,2.914,2.935,2.871,431798905.0,1256109008.0
2016-03-22,2.896,2.894,2.915,2.889,187658578.0,544804992.0
2016-03-23,2.891,2.899,2.914,2.87,280768412.0,812332864.0
2016-03-24,2.88,2.854,2.89,2.852,393082476.0,1128611600.0
2016-03-25,2.856,2.866,2.879,2.848,283864513.0,812493936.0
2016-03-28,2.877,2.839,2.904,2.834,281948279.0,809290000.0
2016-03-29,2.842,2.816,2.851,2.799,567472258.0,1600486320.0
2016-03-30,2.834,2.893,2.896,2.834,357114428.0,1023688960.0
2016-03-31,2.902,2.888,2.908,2.874,297582709.0,860786480.0
2016-04-01,2.879,2.897,2.897,2.837,283912220.0,815859424.0
2016-04-05,2.883,2.924,2.942,2.876,379053785.0,1105926640.0
2016-04-06,2.913,2.919,2.93,2.908,313637351.0,915319376.0
2016-04-07,2.927,2.883,2.937,2.876,262245985.0,760739376.0
2016-04-08,2.861,2.859,2.883,2.834,319718144.0,911962832.0
2016-04-11,2.882,2.89,2.923,2.882,326651747.0,949251600.0
2016-04-12,2.891,2.887,2.897,2.869,470964178.0,1355859600.0
2016-04-13,2.903,2.924,2.96,2.903,738712895.0,2175119952.0
2016-04-14,2.935,2.934,2.947,2.916,218234680.0,640055616.0
2016-04-15,2.941,2.937,2.946,2.924,212089262.0,621949248.0
2016-04-18,2.917,2.896,2.917,2.888,250624871.0,726682576.0
2016-04-19,2.906,2.899,2.92,2.888,307670426.0,891538336.0
2016-04-20,2.911,2.849,2.914,2.781,520050446.0,1477267984.0
2016-04-21,2.832,2.835,2.875,2.822,283097881.0,806652000.0
2016-04-22,2.826,2.848,2.852,2.817,170476336.0,483590304.0
2016-04-25,2.846,2.839,2.846,2.799,173471813.0,490143680.0
2016-04-26,2.837,2.855,2.86,2.824,144654462.0,411143888.0
2016-04-27,2.855,2.842,2.861,2.834,160865617.0,458068896.0
2016-04-28,2.843,2.84,2.849,2.815,160659555.0,454960944.0
2016-04-29,2.833,2.836,2.849,2.827,126232490.0,358665712.0
2016-05-03,2.841,2.891,2.896,2.824,260177350.0,748201328.0
2016-05-04,2.878,2.88,2.896,2.867,204994424.0,590306512.0
2016-05-05,2.877,2.88,2.888,2.868,146724140.0,422287536.0
2016-05-06,2.882,2.815,2.886,2.813,239534514.0,684329077.0
2016-05-09,2.808,2.757,2.808,2.748,363623791.0,1004431928.0
2016-05-10,2.754,2.754,2.768,2.747,126186743.0,347961925.0
2016-05-11,2.763,2.765,2.785,2.753,110521272.0,305936109.0
2016-05-12,2.754,2.775,2.78,2.729,132810012.0,366291994.0
2016-05-13,2.765,2.765,2.79,2.753,101013940.0,279919199.0
2016-05-16,2.76,2.776,2.779,2.736,122566910.0,338736028.0
2016-05-17,2.779,2.772,2.788,2.755,106803875.0,295797362.0
2016-05-18,2.764,2.754,2.765,2.727,132516990.0,363787909.0
2016-05-19,2.752,2.748,2.776,2.745,123644669.0,341617203.0
2016-05-20,2.743,2.766,2.768,2.734,154548833.0,425379889.0
2016-05-23,2.77,2.771,2.79,2.761,119809137.0,332507465.0
2016-05-24,2.771,2.754,2.771,2.743,107553427.0,296006429.0
2016-05-25,2.759,2.752,2.777,2.747,93112502.0,257099787.0
2016-05-26,2.752,2.752,2.764,2.723,158335225.0,433670399.0
2016-05-27,2.75,2.754,2.761,2.741,95222650.0,261992521.0
2016-05-30,2.75,2.755,2.764,2.724,88058115.0,241917771.0
2016-05-31,2.756,2.852,2.854,2.755,549645581.0,1554177036.0
2016-06-01,2.852,2.84,2.857,2.836,190420215.0,541843489.0
2016-06-02,2.842,2.843,2.844,2.829,102669043.0,291409483.0
2016-06-03,2.845,2.876,2.885,2.841,197583056.0,564204393.0
2016-06-06,2.871,2.859,2.883,2.854,90736009.0,259805697.0
2016-06-07,2.862,2.859,2.866,2.853,64034727.0,183029382.0
2016-06-08,2.856,2.855,2.863,2.836,80708802.0,229820366.0
2016-06-13,2.834,2.762,2.834,2.759,366689929.0,1026673569.0
2016-06-14,2.758,2.773,2.774,2.755,194579195.0,538000790.0
2016-06-15,2.753,2.81,2.836,2.745,216255139.0,605204882.0
2016-06-16,2.809,2.793,2.809,2.785,97488913.0,272860069.0
2016-06-17,2.795,2.805,2.825,2.794,223715295.0,628220777.0
2016-06-20,2.808,2.806,2.817,2.787,91247838.0,255483683.0
2016-06-21,2.817,2.799,2.851,2.79,160633581.0,452800477.0
2016-06-22,2.798,2.817,2.82,2.787,130346857.0,366208104.0
2016-06-23,2.817,2.808,2.818,2.79,110449908.0,309928173.0
2016-06-24,2.808,2.778,2.823,2.736,171580995.0,478738659.0
2016-06-27,2.772,2.813,2.815,2.769,150646443.0,421471183.0
2016-06-28,2.804,2.827,2.83,2.79,201690137.0,566115620.0
2016-06-29,2.83,2.84,2.849,2.829,132847993.0,376789519.0
2016-06-30,2.841,2.844,2.852,2.836,103186396.0,293590840.0
2016-07-01,2.844,2.842,2.859,2.839,104203650.0,296840461.0
2016-07-04,2.837,2.889,2.902,2.828,153150160.0,441388873.0
2016-07-05,2.889,2.897,2.906,2.886,178603171.0,517232170.0
2016-07-06,2.894,2.911,2.914,2.885,309020026.0,896513394.0
2016-07-07,2.907,2.915,2.924,2.895,206344554.0,600682507.0
2016-07-08,2.91,2.904,2.912,2.899,186721390.0,542424347.0
2016-07-11,2.908,2.911,2.947,2.907,119976925.0,350916205.0
2016-07-12,2.909,2.985,2.987,2.909,191548274.0,564574968.0
